Section ID,QuestionNumber,Question ID,Question,Type,Parent ID,SubQuestionsFirst,CSSClass,Guidance10,Guidance5,Guidance0,WantConfidence,WantJustification,JustificationNote,HasPrivateNotes,WantExamples,Multiplier,OptionGuidance,Option0,Option1,Option2,Option3,Option4,Option5,Option6,Option7,Option8,Option9,Supporting0,Supporting1,Supporting2,Supporting3,Supporting4,Supporting5,HelpLink
LAND,,G.LAND.TENURE,"To what extent do relevant laws, regulations, policies, and guidance provide a basis for collecting and publishing data on land tenure?",Status,,Yes,,,,,Yes,Yes,,Yes,Yes,,,,,,,,,,,,,,,,,,,https://handbook.globaldatabarometer.org/indicators/G.LAND.TENURE/
LAND,,G.LAND.TENURE.div-Existence,Existence,Note,G.LAND.TENURE,,divider,,,,,,,,,,,,,,,,,,,,,,,,,,,
LAND,,G.LAND.TENURE.a0,"Are there laws, policies or regulations requiring collection or publication of this information in any form?",Radio,G.LAND.TENURE,,radio-list,,,,No,,,,,1,,No,"They are being drafted, or are not yet implemented.",They exist and are operational,,,,,,,,1;Please provide brief details,,,,,,
LAND,,G.LAND.TENURE.a1,"Do relevant laws, policies, regulations or guidance discuss collection and publication of structured and open data?",Radio,G.LAND.TENURE,,radio-list,,,,No,,,,,1,,"Relevant laws, policies and guidance explicitly create barriers to collecting and publishing structured data","There is no mention of data in relevant laws, policies or guidance",Requirements to collect data are set out in non-binding policy or guidance,"Requirements to collect data are set out in binding policy, regulations or law",Requirements to publish data are set out in non-binding policy or guidance,Requirements to publish data are set out in binding policy or law,,,,,0;Please briefly detail the barriers created (e.g. requirements for paper-based filing only),"2,3,4,5;Please provide a URL to the most relevant legislation, policy or guidance",,,,,
LAND,,G.LAND.TENURE.div-Elements,Elements,Note,G.LAND.TENURE,,divider,,,,,,,,,,,,,,,,,,,,,,,,,,,
LAND,,G.LAND.TENURE.e,Part 1: What do the rules or guidance related to structured data cover?,ElementGroup,G.LAND.TENURE,,,,,,No,,,,,1,,,,,,,,,,,,,,,,,,
LAND,,G.LAND.TENURE.e.e.0,The rules/guidance support the collection of structured data.,Option,G.LAND.TENURE.e,,,,,,No,,,,,0.5,,No,Partially,Yes,,,,,,,,,,,,,,
LAND,,G.LAND.TENURE.e.e.1,The rules/guidance require that data is regularly updated.,Option,G.LAND.TENURE.e,,,,,,No,,,,,0.5,,No,Partially,Yes,,,,,,,,,,,,,,
LAND,,G.LAND.TENURE.e.e.2,The rules/guidance empower an agency or official to ensure the accurate and timely collection and publication of required data.,Option,G.LAND.TENURE.e,,,,,,No,,,,,0.5,,No,Partially,Yes,,,,,,,,,,,,,,
LAND,,G.LAND.TENURE.e.e.3,The rules/guidance support publication of open data.,Option,G.LAND.TENURE.e,,,,,,No,,,,,0.5,,No,Partially,Yes,,,,,,,,,,,,,,
