Section ID,QuestionNumber,Question ID,Question,Type,Parent ID,SubQuestionsFirst,CSSClass,Guidance10,Guidance5,Guidance0,WantConfidence,WantJustification,JustificationNote,HasPrivateNotes,WantExamples,Multiplier,OptionGuidance,Option0,Option1,Option2,Option3,Option4,Option5,Option6,Option7,Option8,Option9,Supporting0,Supporting1,Supporting2,Supporting3,Supporting4,Supporting5,HelpLink
GOVERNANCE,,G.GOVERNANCE.DPL,To what extent is there a robust legal or regulatory framework for the protection of personal data in the country?,Status,,Yes,,,,,Yes,Yes,,Yes,Yes,,,,,,,,,,,,,,,,,,,https://handbook.globaldatabarometer.org/indicators/G.GOVERNANCE.DPL/
GOVERNANCE,,G.GOVERNANCE.DPL.div-Existence,Existence,Note,G.GOVERNANCE.DPL,,divider,,,,,,,,,,,,,,,,,,,,,,,,,,,
GOVERNANCE,,G.GOVERNANCE.DPL.a0,What is the nature of the framework?,Radio,G.GOVERNANCE.DPL,,radio-list,,,,No,,,,,1,,No framework exists,A framework exists but lacks full force of law,A framework exists and has the force of law,,,,,,,,"0,1;In the absence of a strong legal framework, are there alternative norms or customs that play this role in the country? If so, please explain how. ",2;Please identify the framework(s) you have assessed (e.g. name of law(s) or regulations),"0,1;If there are draft laws or regulations not yet in force, but that would provide a more robust framework in future, please provide brief details here. ",,,,
GOVERNANCE,,G.GOVERNANCE.DPL.div-Elements,Elements,Note,G.GOVERNANCE.DPL,,divider,,,,,,,,,,,,,,,,,,,,,,,,,,,
GOVERNANCE,,G.GOVERNANCE.DPL.e,Part 1: ,ElementGroup,G.GOVERNANCE.DPL,,,,,,No,,,,,1,,,,,,,,,,,,,,,,,,
GOVERNANCE,,G.GOVERNANCE.DPL.e.e.0,The framework includes the right of choice or consent,Option,G.GOVERNANCE.DPL.e,,,,,,No,,,,,0.5,,No,Partially,Yes,,,,,,,,,,,,,,
GOVERNANCE,,G.GOVERNANCE.DPL.e.e.1,The framework provides the right to access and correct data,Option,G.GOVERNANCE.DPL.e,,,,,,No,,,,,0.5,,No,Partially,Yes,,,,,,,,,,,,,,
GOVERNANCE,,G.GOVERNANCE.DPL.e.e.2,The framework sets out clear responsibilities for data holders,Option,G.GOVERNANCE.DPL.e,,,,,,No,,,,,0.5,,No,Partially,Yes,,,,,,,,,,,,,,
GOVERNANCE,,G.GOVERNANCE.DPL.e.e.3,The framework provides rights of redress,Option,G.GOVERNANCE.DPL.e,,,,,,No,,,,,0.5,,No,Partially,Yes,,,,,,,,,,,,,,
GOVERNANCE,,G.GOVERNANCE.DPL.e1,Part 2: ,ElementGroup,G.GOVERNANCE.DPL,,,,,,No,,,,,1,,,,,,,,,,,,,,,,,,
GOVERNANCE,,G.GOVERNANCE.DPL.e1.e1.0,Frameworks apply equally to migrants,Option,G.GOVERNANCE.DPL.e1,,,,,,No,,,,,0.5,,No,Partially,Yes,,,,,,,,,,,,,,
GOVERNANCE,,G.GOVERNANCE.DPL.e1.e1.1,Frameworks cover the protection of location-related data,Option,G.GOVERNANCE.DPL.e1,,,,,,No,,,,,0.5,,No,Partially,Yes,,,,,,,,,,,,,,
GOVERNANCE,,G.GOVERNANCE.DPL.div-Extent,Extent,Note,G.GOVERNANCE.DPL,,divider,,,,,,,,,,,,,,,,,,,,,,,,,,,
GOVERNANCE,,G.GOVERNANCE.DPL.c0,How broadly does this data protection framework apply?,Radio,G.GOVERNANCE.DPL,,radio-list,,,,No,,,,,1,,The framework only applies in a narrow set of situations,The framework applies widely in one or more sectors,The framework applies widely across all sectors (including public and private sector),The framework applies widely across all sectors and there is strong evidence that it is implemented effectively,,,,,,,,,,,,,
COMPANY,,G.COMPANY.REG,"To what extent do relevant laws, regulations, policies and guidance provide a basis for collecting and publishing structured data from company registers?",Status,,Yes,,,,,Yes,Yes,,Yes,Yes,,,,,,,,,,,,,,,,,,,https://handbook.globaldatabarometer.org/indicators/G.COMPANY.REG/
COMPANY,,G.COMPANY.REG.div-Existence,Existence,Note,G.COMPANY.REG,,divider,,,,,,,,,,,,,,,,,,,,,,,,,,,
COMPANY,,G.COMPANY.REG.a0,"Are there laws, policies or regulations requiring collection or publication of this information in any form?",Radio,G.COMPANY.REG,,radio-list,,,,No,,,,,1,,No,"They are being drafted, or are not yet implemented.",They exist and are operational,,,,,,,,1;Please provide brief details,,,,,,
COMPANY,,G.COMPANY.REG.a1,"Do relevant laws, policies, regulations or guidance discuss collection and publication of structured and open data?",Radio,G.COMPANY.REG,,radio-list,,,,No,,,,,1,,"Relevant laws, policies and guidance explicitly create barriers to collecting and publishing structured data","There is no mention of data in relevant laws, policies or guidance",Requirements to collect data are set out in non-binding policy or guidance,"Requirements to collect data are set out in binding policy, regulations or law",Requirements to publish data are set out in non-binding policy or guidance,Requirements to publish data are set out in binding policy or law,,,,,0;Please briefly detail the barriers created (e.g. requirements for paper-based filing only),"2,3,4,5;Please provide a URL to the most relevant legislation, policy or guidance",,,,,
COMPANY,,G.COMPANY.REG.div-Elements,Elements,Note,G.COMPANY.REG,,divider,,,,,,,,,,,,,,,,,,,,,,,,,,,
COMPANY,,G.COMPANY.REG.e,Part 1: What do the rules or guidance related to structured data cover?,ElementGroup,G.COMPANY.REG,,,,,,No,,,,,1,,,,,,,,,,,,,,,,,,
COMPANY,,G.COMPANY.REG.e.e.0,The framework requires collection of data on directors and shareholders,Option,G.COMPANY.REG.e,,,,,,No,,,,,0.5,,No,Partially,Yes,,,,,,,,,,,,,,
COMPANY,,G.COMPANY.REG.e.e.1,"Basic company information, including company name, legal form, status, and registered address",Option,G.COMPANY.REG.e,,,,,,No,,,,,0.5,,No,Partially,Yes,,,,,,,,"1;If one or more of the basic company data features is not covered, please list which (e.g. registered address)",,,,,,
COMPANY,,G.COMPANY.REG.e.e.2,Structured data on the shareholders of each company,Option,G.COMPANY.REG.e,,,,,,No,,,,,0.5,,No,Partially,Yes,,,,,,,,,,,,,,
COMPANY,,G.COMPANY.REG.e.e.3,Regularly updated and structured financial data,Option,G.COMPANY.REG.e,,,,,,No,,,,,0.5,,No,Partially,Yes,,,,,,,,"0;(Optional) Is structured company accounting data collected through any other mechanism or agency (e.g. tax offices, operating separately from the company register)? ","1,2;(Optional) Please briefly describe any requirements for firms to file structured data accounts or financial returns (e.g. is structured data filing voluntary or mandatory? Do exemptions exist for small firms?)",,,,,
COMPANY,,G.COMPANY.REG.e1,Part 2: What other requirements do the rules or guidance set out?,ElementGroup,G.COMPANY.REG,,,,,,No,,,,,1,,,,,,,,,,,,,,,,,,
COMPANY,,G.COMPANY.REG.e1.e1.0,The rules/guidance require that data is regularly updated.,Option,G.COMPANY.REG.e1,,,,,,No,,,,,0.5,,No,Partially,Yes,,,,,,,,,,,,,,
COMPANY,,G.COMPANY.REG.e1.e1.1,The rules/guidance support publication of open data.,Option,G.COMPANY.REG.e1,,,,,,No,,,,,0.5,,No,Partially,Yes,,,,,,,,,,,,,,
COMPANY,,G.COMPANY.REG.e1.e1.2,The rules/guidance empower an agency or official to ensure the accurate and timely collection and publication of required data.,Option,G.COMPANY.REG.e1,,,,,,No,,,,,0.5,,No,Partially,Yes,,,,,,,,,,,,,,
COMPANY,,G.COMPANY.REG.div-Extent,Extent,Note,G.COMPANY.REG,,divider,,,,,,,,,,,,,,,,,,,,,,,,,,,
COMPANY,,G.COMPANY.REG.c0,"How widely do these laws, regulations, policies or guidance apply?",Radio,G.COMPANY.REG,,radio-list,,,,No,,,,,1,,"The laws, policies and guidance assessed cover a limited number of localities or government agencies","The relevant laws, policies and guidance assessed cover, or are representative of those covering, many localities or government agencies","The relevant laws, policies and guidance assessed cover the majority of public procurement",,,,,,,,,,,,,,
