Section ID,QuestionNumber,Question ID,Question,Type,Parent ID,SubQuestionsFirst,CSSClass,Guidance10,Guidance5,Guidance0,WantConfidence,WantJustification,JustificationNote,HasPrivateNotes,WantExamples,Multiplier,OptionGuidance,Option0,Option1,Option2,Option3,Option4,Option5,Option6,Option7,Option8,Option9,Supporting0,Supporting1,Supporting2,Supporting3,Supporting4,Supporting5,HelpLink
GOVERNANCE,,G.GOVERNANCE.DPL,To what extent is there a robust legal or regulatory framework for the protection of personal data in the country?,Status,,Yes,,,,,Yes,Yes,,Yes,Yes,,,,,,,,,,,,,,,,,,,https://handbook.globaldatabarometer.org/indicators/G.GOVERNANCE.DPL/
GOVERNANCE,,G.GOVERNANCE.DPL.div-Existence,Existence,Note,G.GOVERNANCE.DPL,,divider,,,,,,,,,,,,,,,,,,,,,,,,,,,
GOVERNANCE,,G.GOVERNANCE.DPL.a0,What is the nature of the framework?,Radio,G.GOVERNANCE.DPL,,radio-list,,,,No,,,,,1,,No framework exists,A framework exists but lacks full force of law,A framework exists and has the force of law,,,,,,,,"0,1;In the absence of a strong legal framework, are there alternative norms or customs that play this role in the country? If so, please explain how. ",2;Please identify the framework(s) you have assessed (e.g. name of law(s) or regulations),"0,1;If there are draft laws or regulations not yet in force, but that would provide a more robust framework in future, please provide brief details here. ",,,,
GOVERNANCE,,G.GOVERNANCE.DPL.div-Elements,Elements,Note,G.GOVERNANCE.DPL,,divider,,,,,,,,,,,,,,,,,,,,,,,,,,,
GOVERNANCE,,G.GOVERNANCE.DPL.e,Part 1: ,ElementGroup,G.GOVERNANCE.DPL,,,,,,No,,,,,1,,,,,,,,,,,,,,,,,,
GOVERNANCE,,G.GOVERNANCE.DPL.e.e.0,The framework includes the right of choice or consent,Option,G.GOVERNANCE.DPL.e,,,,,,No,,,,,0.5,,No,Partially,Yes,,,,,,,,,,,,,,
GOVERNANCE,,G.GOVERNANCE.DPL.e.e.1,The framework provides the right to access and correct data,Option,G.GOVERNANCE.DPL.e,,,,,,No,,,,,0.5,,No,Partially,Yes,,,,,,,,,,,,,,
GOVERNANCE,,G.GOVERNANCE.DPL.e.e.2,The framework sets out clear responsibilities for data holders,Option,G.GOVERNANCE.DPL.e,,,,,,No,,,,,0.5,,No,Partially,Yes,,,,,,,,,,,,,,
GOVERNANCE,,G.GOVERNANCE.DPL.e.e.3,The framework provides rights of redress,Option,G.GOVERNANCE.DPL.e,,,,,,No,,,,,0.5,,No,Partially,Yes,,,,,,,,,,,,,,
GOVERNANCE,,G.GOVERNANCE.DPL.e1,Part 2: ,ElementGroup,G.GOVERNANCE.DPL,,,,,,No,,,,,1,,,,,,,,,,,,,,,,,,
GOVERNANCE,,G.GOVERNANCE.DPL.e1.e1.0,Frameworks apply equally to migrants,Option,G.GOVERNANCE.DPL.e1,,,,,,No,,,,,0.5,,No,Partially,Yes,,,,,,,,,,,,,,
GOVERNANCE,,G.GOVERNANCE.DPL.e1.e1.1,Frameworks cover the protection of location-related data,Option,G.GOVERNANCE.DPL.e1,,,,,,No,,,,,0.5,,No,Partially,Yes,,,,,,,,,,,,,,
GOVERNANCE,,G.GOVERNANCE.DPL.div-Extent,Extent,Note,G.GOVERNANCE.DPL,,divider,,,,,,,,,,,,,,,,,,,,,,,,,,,
GOVERNANCE,,G.GOVERNANCE.DPL.c0,How broadly does this data protection framework apply?,Radio,G.GOVERNANCE.DPL,,radio-list,,,,No,,,,,1,,The framework only applies in a narrow set of situations,The framework applies widely in one or more sectors,The framework applies widely across all sectors (including public and private sector),The framework applies widely across all sectors and there is strong evidence that it is implemented effectively,,,,,,,,,,,,,
COMPANY,,G.COMPANY.REG,"To what extent do relevant laws, regulations, policies and guidance provide a basis for collecting and publishing structured data from company registers?",Status,,Yes,,,,,Yes,Yes,,Yes,Yes,,,,,,,,,,,,,,,,,,,https://handbook.globaldatabarometer.org/indicators/G.COMPANY.REG/
COMPANY,,G.COMPANY.REG.div-Existence,Existence,Note,G.COMPANY.REG,,divider,,,,,,,,,,,,,,,,,,,,,,,,,,,
COMPANY,,G.COMPANY.REG.a0,"Are there laws, policies or regulations requiring collection or publication of this information in any form?",Radio,G.COMPANY.REG,,radio-list,,,,No,,,,,1,,No,"They are being drafted, or are not yet implemented.",They exist and are operational,,,,,,,,1;Please provide brief details,,,,,,
COMPANY,,G.COMPANY.REG.a1,"Do relevant laws, policies, regulations or guidance discuss collection and publication of structured and open data?",Radio,G.COMPANY.REG,,radio-list,,,,No,,,,,1,,"Relevant laws, policies and guidance explicitly create barriers to collecting and publishing structured data","There is no mention of data in relevant laws, policies or guidance",Requirements to collect data are set out in non-binding policy or guidance,"Requirements to collect data are set out in binding policy, regulations or law",Requirements to publish data are set out in non-binding policy or guidance,Requirements to publish data are set out in binding policy or law,,,,,0;Please briefly detail the barriers created (e.g. requirements for paper-based filing only),"2,3,4,5;Please provide a URL to the most relevant legislation, policy or guidance",,,,,
COMPANY,,G.COMPANY.REG.div-Elements,Elements,Note,G.COMPANY.REG,,divider,,,,,,,,,,,,,,,,,,,,,,,,,,,
COMPANY,,G.COMPANY.REG.e,Part 1: What do the rules or guidance related to structured data cover?,ElementGroup,G.COMPANY.REG,,,,,,No,,,,,1,,,,,,,,,,,,,,,,,,
COMPANY,,G.COMPANY.REG.e.e.0,The framework requires collection of data on directors and shareholders,Option,G.COMPANY.REG.e,,,,,,No,,,,,0.5,,No,Partially,Yes,,,,,,,,,,,,,,
COMPANY,,G.COMPANY.REG.e.e.1,"Basic company information, including company name, legal form, status, and registered address",Option,G.COMPANY.REG.e,,,,,,No,,,,,0.5,,No,Partially,Yes,,,,,,,,"1;If one or more of the basic company data features is not covered, please list which (e.g. registered address)",,,,,,
COMPANY,,G.COMPANY.REG.e.e.2,Structured data on the shareholders of each company,Option,G.COMPANY.REG.e,,,,,,No,,,,,0.5,,No,Partially,Yes,,,,,,,,,,,,,,
COMPANY,,G.COMPANY.REG.e.e.3,Regularly updated and structured financial data,Option,G.COMPANY.REG.e,,,,,,No,,,,,0.5,,No,Partially,Yes,,,,,,,,"0;(Optional) Is structured company accounting data collected through any other mechanism or agency (e.g. tax offices, operating separately from the company register)? ","1,2;(Optional) Please briefly describe any requirements for firms to file structured data accounts or financial returns (e.g. is structured data filing voluntary or mandatory? Do exemptions exist for small firms?)",,,,,
COMPANY,,G.COMPANY.REG.e1,Part 2: What other requirements do the rules or guidance set out?,ElementGroup,G.COMPANY.REG,,,,,,No,,,,,1,,,,,,,,,,,,,,,,,,
COMPANY,,G.COMPANY.REG.e1.e1.0,The rules/guidance require that data is regularly updated.,Option,G.COMPANY.REG.e1,,,,,,No,,,,,0.5,,No,Partially,Yes,,,,,,,,,,,,,,
COMPANY,,G.COMPANY.REG.e1.e1.1,The rules/guidance support publication of open data.,Option,G.COMPANY.REG.e1,,,,,,No,,,,,0.5,,No,Partially,Yes,,,,,,,,,,,,,,
COMPANY,,G.COMPANY.REG.e1.e1.2,The rules/guidance empower an agency or official to ensure the accurate and timely collection and publication of required data.,Option,G.COMPANY.REG.e1,,,,,,No,,,,,0.5,,No,Partially,Yes,,,,,,,,,,,,,,
COMPANY,,G.COMPANY.REG.div-Extent,Extent,Note,G.COMPANY.REG,,divider,,,,,,,,,,,,,,,,,,,,,,,,,,,
COMPANY,,G.COMPANY.REG.c0,"How widely do these laws, regulations, policies or guidance apply?",Radio,G.COMPANY.REG,,radio-list,,,,No,,,,,1,,"The laws, policies and guidance assessed cover a limited number of localities or government agencies","The relevant laws, policies and guidance assessed cover, or are representative of those covering, many localities or government agencies","The relevant laws, policies and guidance assessed cover the majority of public procurement",,,,,,,,,,,,,,
COMPANY,,A.COMPANY.REG,To what extent is company information available as structured open data?,Status,,Yes,,,,,Yes,Yes,,Yes,Yes,,,,,,,,,,,,,,,,,,,https://handbook.globaldatabarometer.org/indicators/A.COMPANY.REG/
COMPANY,,A.COMPANY.REG.div-Existence,Existence,Note,A.COMPANY.REG,,divider,,,,,,,,,,,,,,,,,,,,,,,,,,,
COMPANY,,A.COMPANY.REG.a0,Is this data available online in any form?,Radio,A.COMPANY.REG,,radio-list,,,,No,,,,,1,,Data is not available online,"Data is available, but not as a result of government action","Data is available from government, or because of government actions",,,,,,,,0;Are there other offline ways to access this data in the country? (e.g. attending an office to inspect it),"1;If government is not providing access to data, how is this data available? ","1,2;Please provide a URL for where this data can be found",,,,
COMPANY,,A.COMPANY.REG.div-Elements,Elements,Note,A.COMPANY.REG,,divider,,,,,,,,,,,,,,,,,,,,,,,,,,,
COMPANY,,A.COMPANY.REG.e,Part 1: Dataset specific,ElementGroup,A.COMPANY.REG,,,,,,No,,,,,1,,,,,,,,,,,,,,,,,,
COMPANY,,A.COMPANY.REG.e.e.0,The dataset contains unique identifiers for each company,Option,A.COMPANY.REG.e,,,,,,No,,,,,0.5,,No,Partially,Yes,,,,,,,,,,,,,,
COMPANY,,A.COMPANY.REG.e.e.1,"Basic company information, including company name, legal form, status, and registered address",Option,A.COMPANY.REG.e,,,,,,No,,,,,0.5,,No,Partially,Yes,,,,,,,,"1;If one or more of the basic company data features is not covered, please list which (e.g. registered address)",,,,,,
COMPANY,,A.COMPANY.REG.e.e.2,The data contains details of each director,Option,A.COMPANY.REG.e,,,,,,No,,,,,0.5,,No,Partially,Yes,,,,,,,,,,,,,,
COMPANY,,A.COMPANY.REG.e.e.3,Structured data on company accounts is available for each registered company,Option,A.COMPANY.REG.e,,,,,,No,,,,,0.5,,No,Partially,Yes,,,,,,,,,,,,,,
COMPANY,,A.COMPANY.REG.e1,Part 2: General checklist,ElementGroup,A.COMPANY.REG,,,,,,No,,,,,1,,,,,,,,,,,,,,,,,,
COMPANY,,A.COMPANY.REG.e1.e1.0,Data is provided in machine-readable format(s),Option,A.COMPANY.REG.e1,,,,,,No,,,,,0.5,,No,Partially,Yes,,,,,,,,"1,2;Please provide a URL where this machine-readable data can be found. (Additional URLs can be included in the justification and supporting evidence)","1,2;Please provide a comma separated list of the formats available? (E.g. csv, json)",1;What prevents you from assessing this data as fully machine-readable? ,,,,
COMPANY,,A.COMPANY.REG.e1.e1.1,Is this data available online in any form?,Option,A.COMPANY.REG.e1,,,,,,No,,,,,0.5,,Data is not available online,"Data is available, but not as a result of government action","Data is available from government, or because of government actions",,,,,,,,0;Are there other offline ways to access this data in the country? (e.g. attending an office to inspect it),"1;If government is not providing access to data, how is this data available? ","1,2;Please provide a URL for where this data can be found",,,,
COMPANY,,A.COMPANY.REG.e1.e1.2,The machine-readable dataset is available as a whole,Option,A.COMPANY.REG.e1,,,,,,No,,,,,0.5,"Answer no if it's only possible to access individual records; Answer partially if it's possible to export extracts of the data; Answer yes if there are bulk downloads or APIs providing access to the whole dataset without financial, technical or legal barriers. ",No,Partially,Yes,,,,,,,,"1,2;Please provide a URL where bulk download access is available or described.","1,2;If bulk access is provided through an API, please provide a link to where the API is described.",,,,,
COMPANY,,A.COMPANY.REG.e1.e1.3,Data is openly licensed.,Option,A.COMPANY.REG.e1,,,,,,No,,,,,0.5,,No,Partially,Yes,,,,,,,,"0;If there are explicit restrictions placed on re-use of the dataset, briefly describe those here.","1,2;If the data is provided with an explicit open license, please provide the name of the license, or a link to it here.",,,,,
COMPANY,,A.COMPANY.REG.e1.e1.4,Data is timely and updated.,Option,A.COMPANY.REG.e1,,,,,,No,,,,,0.5,,No,Partially,Yes,,,,,,,,When was the most recent update to this dataset?,,,,,,
COMPANY,,A.COMPANY.REG.e1.e1.5,There are accessible and open official tools available to help users locate and explore individual records.,Option,A.COMPANY.REG.e1,,,,,,No,,,,,0.5,Answer 'partially' if tools make it possible to get at extracts of data without having to download a full dataset. Answer 'yes' if there is an interactive tool that displays user-filtered extracts of the data to answer simple questions without downloading data at all. ,No,Partialy ,Yes,,,,,,,,"1,2;Please provide URL",1;What are the main barriers to accessibility and usability?,,,,,
COMPANY,,A.COMPANY.REG.div-Extent,Extent,Note,A.COMPANY.REG,,divider,,,,,,,,,,,,,,,,,,,,,,,,,,,
COMPANY,,A.COMPANY.REG.c0,How comprehensive is the data assessed for this question?,Radio,A.COMPANY.REG,,radio-list,,,,No,,,,,1,,"The data assessed covers one or more localities, but there are many other localities without available data, or with data of a lesser quality.","The data assessed covers one or more localities, and is a representative example of the kind of data that can be found for all, or most, localities.",The data assessed provides national coverage.,,,,,,,,0;Which locality does this data cover?,,,,,,
COMPANY,,G.COMPANY.BOT,"To what extent do relevant laws, regulations, policies and guidance provide a basis for collecting and publishing structured beneficial ownership data on companies?",Status,,Yes,,,,,Yes,Yes,,Yes,Yes,,,,,,,,,,,,,,,,,,,https://handbook.globaldatabarometer.org/indicators/G.COMPANY.BOT/
COMPANY,,G.COMPANY.BOT.div-Existence,Existence,Note,G.COMPANY.BOT,,divider,,,,,,,,,,,,,,,,,,,,,,,,,,,
COMPANY,,G.COMPANY.BOT.a0,"Are there laws, policies or regulations requiring collection or publication of this information in any form?",Radio,G.COMPANY.BOT,,radio-list,,,,No,,,,,1,,No,"They are being drafted, or are not yet implemented.",They exist and are operational,,,,,,,,1;Please provide brief details,,,,,,
COMPANY,,G.COMPANY.BOT.a1,"Do relevant laws, policies, regulations or guidance discuss collection and publication of structured and open data?",Radio,G.COMPANY.BOT,,radio-list,,,,No,,,,,1,,"Relevant laws, policies and guidance explicitly create barriers to collecting and publishing structured data","There is no mention of data in relevant laws, policies or guidance",Requirements to collect data are set out in non-binding policy or guidance,"Requirements to collect data are set out in binding policy, regulations or law",Requirements to publish data are set out in non-binding policy or guidance,Requirements to publish data are set out in binding policy or law,,,,,0;Please briefly detail the barriers created (e.g. requirements for paper-based filing only),"2,3,4,5;Please provide a URL to the most relevant legislation, policy or guidance",,,,,
COMPANY,,G.COMPANY.BOT.div-Elements,Elements,Note,G.COMPANY.BOT,,divider,,,,,,,,,,,,,,,,,,,,,,,,,,,
COMPANY,,G.COMPANY.BOT.e,Part 1: What do the rules or guidance related to structured data cover?,ElementGroup,G.COMPANY.BOT,,,,,,No,,,,,1,,,,,,,,,,,,,,,,,,
COMPANY,,G.COMPANY.BOT.e.e.0,Beneficial ownership data should be collected in a central register or database,Option,G.COMPANY.BOT.e,,,,,,No,,,,,0.5,,No,Partially,Yes,,,,,,,,,,,,,,
COMPANY,,G.COMPANY.BOT.e.e.1,Definitions comprehensively cover ownership,Option,G.COMPANY.BOT.e,,,,,,No,,,,,0.5,"For yes, definitions should require disclosure interests held indirectly. Answer 'partially' if only direct ownership is covered. ",No,Partially,Yes,,,,,,,,"1,2;If the framework sets a threshold below which a share of ownership does not need to be disclosed, please provide it here (e.g. 25%). ",,,,,,
COMPANY,,G.COMPANY.BOT.e.e.2,Definitions cover control,Option,G.COMPANY.BOT.e,,,,,,No,,,,,0.5,"For yes, definitions should have a provision to capture 'other significant methods of control' beyond those explicitly listed in order to limit loopholes. Answer partially if the definition only specifies a limited set of forms of control.",No,Partially,Yes,,,,,,,,"1,2;If the framework sets a threshold below which a share of control does not need to be disclosed, please provide it here (e.g. 25%). ",,,,,,
COMPANY,,G.COMPANY.BOT.e.e.3,Rules or processes exist to protect certain natural persons who are beneficial owners from having their data published,Option,G.COMPANY.BOT.e,,,,,,No,,,,,0.5,,No,Partially,Yes,,,,,,,,,,,,,,
COMPANY,,G.COMPANY.BOT.e1,Part 2: What other requirements do the rules or guidance set out?,ElementGroup,G.COMPANY.BOT,,,,,,No,,,,,1,,,,,,,,,,,,,,,,,,
COMPANY,,G.COMPANY.BOT.e1.e1.0,The rules/guidance require that data is regularly updated.,Option,G.COMPANY.BOT.e1,,,,,,No,,,,,0.5,,No,Partially,Yes,,,,,,,,,,,,,,
COMPANY,,G.COMPANY.BOT.e1.e1.1,The framework requires a verification process.,Option,G.COMPANY.BOT.e1,,,,,,No,,,,,0.5,,No,Partially,Yes,,,,,,,,"1;Please briefly explain the verification process used, and which parts of collected data the framework requires to be verified and which parts it does not.",2;Please briefly explain the verification process used.,,,,,
COMPANY,,G.COMPANY.BOT.e1.e1.2,The rules/guidance support publication of open data.,Option,G.COMPANY.BOT.e1,,,,,,No,,,,,0.5,,No,Partially,Yes,,,,,,,,,,,,,,
COMPANY,,G.COMPANY.BOT.e1.e1.3,The rules/guidance empower an agency or official to ensure the accurate and timely collection and publication of required data.,Option,G.COMPANY.BOT.e1,,,,,,No,,,,,0.5,,No,Partially,Yes,,,,,,,,,,,,,,
COMPANY,,G.COMPANY.BOT.div-Extent,Extent,Note,G.COMPANY.BOT,,divider,,,,,,,,,,,,,,,,,,,,,,,,,,,
COMPANY,,G.COMPANY.BOT.c0,"How widely do these laws, regulations, policies or guidance apply?",Radio,G.COMPANY.BOT,,radio-list,,,,No,,,,,1,,They cover a limited number of localities or companies (e.g. only companies operating in a single sector or in a single sub-national jurisdiction/state).,"They cover, or are representative of those covering, many localities or companies",They cover the majority of limited companies in the country,,,,,,,,"0,1,2;Please briefly describe limits on coverage (e.g. which locality, type of company, or context for registration)",,,,,,
COMPANY,,A.COMPANY.BOT,To what extent is company beneficial ownership information available as structured open data?,Status,,Yes,,,,,Yes,Yes,,Yes,Yes,,,,,,,,,,,,,,,,,,,https://handbook.globaldatabarometer.org/indicators/A.COMPANY.BOT/
COMPANY,,A.COMPANY.BOT.div-Existence,Existence,Note,A.COMPANY.BOT,,divider,,,,,,,,,,,,,,,,,,,,,,,,,,,
COMPANY,,A.COMPANY.BOT.a0,Is this data available online in any form?,Radio,A.COMPANY.BOT,,radio-list,,,,No,,,,,1,,Data is not available online,"Data is available, but not as a result of government action","Data is available from government, or because of government actions",,,,,,,,0;Are there other offline ways to access this data in the country? (e.g. attending an office to inspect it),"1;If government is not providing access to data, how is this data available? ","1,2;Please provide a URL for where this data can be found",,,,
COMPANY,,A.COMPANY.BOT.div-Elements,Elements,Note,A.COMPANY.BOT,,divider,,,,,,,,,,,,,,,,,,,,,,,,,,,
COMPANY,,A.COMPANY.BOT.e,Part 1: Dataset specific,ElementGroup,A.COMPANY.BOT,,,,,,No,,,,,1,,,,,,,,,,,,,,,,,,
COMPANY,,A.COMPANY.BOT.e.e.0,The dataset contains unique identifiers for each company,Option,A.COMPANY.BOT.e,,,,,,No,,,,,0.5,,No,Partially,Yes,,,,,,,,,,,,,,
