Section ID,QuestionNumber,Question ID,Question,Type,Parent ID,SubQuestionsFirst,CSSClass,Guidance10,Guidance5,Guidance0,WantConfidence,WantJustification,JustificationNote,HasPrivateNotes,WantExamples,Multiplier,OptionGuidance,Option0,Option1,Option2,Option3,Option4,Option5,Option6,Option7,Option8,Option9,Supporting0,Supporting1,Supporting2,Supporting3,Supporting4,Supporting5,HelpLink
GOVERNANCE,,G.GOVERNANCE.DPL,To what extent is there a robust legal or regulatory framework for the protection of personal data in the country?,Status,,Yes,,,,,Yes,Yes,,Yes,Yes,,,,,,,,,,,,,,,,,,,https://handbook.globaldatabarometer.org/indicators/G.GOVERNANCE.DPL/
GOVERNANCE,,G.GOVERNANCE.DPL.div-Existence,Existence,Note,G.GOVERNANCE.DPL,,divider,,,,,,,,,,,,,,,,,,,,,,,,,,,
GOVERNANCE,,G.GOVERNANCE.DPL.a0,What is the nature of the framework?,Radio,G.GOVERNANCE.DPL,,radio-list,,,,No,,,,,1,,No framework exists,A framework exists but lacks full force of law,A framework exists and has the force of law,,,,,,,,"0,1;In the absence of a strong legal framework, are there alternative norms or customs that play this role in the country? If so, please explain how. ",2;Please identify the framework(s) you have assessed (e.g. name of law(s) or regulations),"0,1;If there are draft laws or regulations not yet in force, but that would provide a more robust framework in future, please provide brief details here. ",,,,
GOVERNANCE,,G.GOVERNANCE.DPL.div-Elements,Elements,Note,G.GOVERNANCE.DPL,,divider,,,,,,,,,,,,,,,,,,,,,,,,,,,
GOVERNANCE,,G.GOVERNANCE.DPL.e,Part 1: ,ElementGroup,G.GOVERNANCE.DPL,,,,,,No,,,,,1,,,,,,,,,,,,,,,,,,
GOVERNANCE,,G.GOVERNANCE.DPL.e.e.0,The framework includes the right of choice or consent,Option,G.GOVERNANCE.DPL.e,,,,,,No,,,,,0.5,,No,Partially,Yes,,,,,,,,,,,,,,
GOVERNANCE,,G.GOVERNANCE.DPL.e.e.1,The framework provides the right to access and correct data,Option,G.GOVERNANCE.DPL.e,,,,,,No,,,,,0.5,,No,Partially,Yes,,,,,,,,,,,,,,
GOVERNANCE,,G.GOVERNANCE.DPL.e.e.2,The framework sets out clear responsibilities for data holders,Option,G.GOVERNANCE.DPL.e,,,,,,No,,,,,0.5,,No,Partially,Yes,,,,,,,,,,,,,,
GOVERNANCE,,G.GOVERNANCE.DPL.e.e.3,The framework provides rights of redress,Option,G.GOVERNANCE.DPL.e,,,,,,No,,,,,0.5,,No,Partially,Yes,,,,,,,,,,,,,,
GOVERNANCE,,G.GOVERNANCE.DPL.e1,Part 2: ,ElementGroup,G.GOVERNANCE.DPL,,,,,,No,,,,,1,,,,,,,,,,,,,,,,,,
GOVERNANCE,,G.GOVERNANCE.DPL.e1.e1.0,Frameworks apply equally to migrants,Option,G.GOVERNANCE.DPL.e1,,,,,,No,,,,,0.5,,No,Partially,Yes,,,,,,,,,,,,,,
GOVERNANCE,,G.GOVERNANCE.DPL.e1.e1.1,Frameworks cover the protection of location-related data,Option,G.GOVERNANCE.DPL.e1,,,,,,No,,,,,0.5,,No,Partially,Yes,,,,,,,,,,,,,,
GOVERNANCE,,G.GOVERNANCE.DPL.div-Extent,Extent,Note,G.GOVERNANCE.DPL,,divider,,,,,,,,,,,,,,,,,,,,,,,,,,,
GOVERNANCE,,G.GOVERNANCE.DPL.c0,How broadly does this data protection framework apply?,Radio,G.GOVERNANCE.DPL,,radio-list,,,,No,,,,,1,,The framework only applies in a narrow set of situations,The framework applies widely in one or more sectors,The framework applies widely across all sectors (including public and private sector),The framework applies widely across all sectors and there is strong evidence that it is implemented effectively,,,,,,,,,,,,,
