Section ID,QuestionNumber,Question ID,Question,Type,Parent ID,SubQuestionsFirst,CSSClass,Guidance10,Guidance5,Guidance0,WantConfidence,WantJustification,JustificationNote,HasPrivateNotes,WantExamples,Multiplier,OptionGuidance,Option0,Option1,Option2,Option3,Option4,Option5,Option6,Option7,Option8,Option9,Supporting0,Supporting1,Supporting2,Supporting3,Supporting4,Supporting5,HelpLink
PROCUREMENT,,G.PROCUREMENT.PROC-POLICY,"To what extent do relevant laws, regulations, policies and guidance provide a basis for collecting and publishing structured data on government procurement?",Sum,,Yes,,,,,,Yes,,Yes,Yes,,,,,,,,,,,,,,,,,,,https://handbook.globaldatabarometer.org/1eQrH_X8LgK0UKV9sis7iNDzgggPOI8YQFZPHwDWqtEo/indicators/G.PROCUREMENT.PROC-POLICY/
PROCUREMENT,,G.PROCUREMENT.PROC-POLICY.div-Existence,Existence,Note,G.PROCUREMENT.PROC-POLICY,,divider,,,,,,,,,,,,,,,,,,,,,,,,,,,
PROCUREMENT,,G.PROCUREMENT.PROC-POLICY.a0,"Are there any laws, policies or regulations requiring collection or publication of this information in any form?",Radio,G.PROCUREMENT.PROC-POLICY,,radio-list,,,,,,,,,1,,No,"They are in draft, or are not yet implemented",They exist and are operating,,,,,,,,1;Please provide brief details,,,,,,
PROCUREMENT,,G.PROCUREMENT.PROC-POLICY.a1,"Do relevant laws, policies, regulations or guidance discuss collection and publication of structured and open data?",Radio,G.PROCUREMENT.PROC-POLICY,,radio-list,,,,,,,,,1,,"Relevant laws, policies and guidance explicitly create barriers to collecting and publishing structured data","There is no mention of data in the relevant laws, policies or guidance",Requirements to collect data are set out in relevant non-binding policy or guidance,"Requirements to collect data are set out in relevant binding policy, regulations or law",Requirements to publish data are set out in relevant non-binding policy or guidance,Requirements to publish data are set out in relevant binding policy or law,,,,,0;Please briefly detail the barriers created (e.g. requirements for paper-based filing only),,,,,,
PROCUREMENT,,G.PROCUREMENT.PROC-POLICY.div-Elements,Elements,Note,G.PROCUREMENT.PROC-POLICY,,divider,,,,,,,,,,,,,,,,,,,,,,,,,,,
PROCUREMENT,,G.PROCUREMENT.PROC-POLICY.e,Part 1: What kinds of procurement process does the framework cover?,Sum,G.PROCUREMENT.PROC-POLICY,,,,,,,,,,,1,,,,,,,,,,,,,,,,,,
PROCUREMENT,,G.PROCUREMENT.PROC-POLICY.e.e.0,Requirements for data collection and/or disclosure apply to goods and services,Option,G.PROCUREMENT.PROC-POLICY.e,,,,,,,,,,,0.5,,No,Partially,Yes,,,,,,,,"1,2;If there is a threshold value below which disclosure requirements do not apply, please provide the currency and value here (E.g. USD 10000)",,,,,,
PROCUREMENT,,G.PROCUREMENT.PROC-POLICY.e.e.1,Requirements for data collection and/or disclosure apply to public works contracts,Option,G.PROCUREMENT.PROC-POLICY.e,,,,,,,,,,,0.5,,No,Partially,Yes,,,,,,,,"1,2;If there is a threshold value below which disclosure requirements do not apply, please provide the currency and value here (E.g. USD 10000)",,,,,,
PROCUREMENT,,G.PROCUREMENT.PROC-POLICY.e.e.2,Requirements for data collection and/or disclosure apply equally to direct awards and specialised procurement procedures,Option,G.PROCUREMENT.PROC-POLICY.e,,,,,,,,,,,0.5,Answer partially if there are weaker data collection and transparency requirements for direct awards or specialised procurement procedures. ,No,Partially,Yes,,,,,,,,"1,2;If there is a threshold value below which disclosure requirements do not apply, please provide the currency and value here (E.g. USD 10000)",,,,,,
PROCUREMENT,,G.PROCUREMENT.PROC-POLICY.e1,Part 2: What stages of the procurement process does the framework cover?,Sum,G.PROCUREMENT.PROC-POLICY,,,,,,,,,,,1,,,,,,,,,,,,,,,,,,
PROCUREMENT,,G.PROCUREMENT.PROC-POLICY.e1.e1.0,The planning phase is covered,Option,G.PROCUREMENT.PROC-POLICY.e1,,,,,,,,,,,0.5,,No,Partially,Yes,,,,,,,,,,,,,,
PROCUREMENT,,G.PROCUREMENT.PROC-POLICY.e1.e1.1,The tender stage is covered,Option,G.PROCUREMENT.PROC-POLICY.e1,,,,,,,,,,,0.5,,No,Partially,Yes,,,,,,,,,,,,,,
PROCUREMENT,,G.PROCUREMENT.PROC-POLICY.e1.e1.2,The award stage is covered,Option,G.PROCUREMENT.PROC-POLICY.e1,,,,,,,,,,,0.5,,No,Partially,Yes,,,,,,,,,,,,,,
PROCUREMENT,,G.PROCUREMENT.PROC-POLICY.e1.e1.3,Contract spending and performance is covered,Option,G.PROCUREMENT.PROC-POLICY.e1,,,,,,,,,,,0.5,,No,Partially,Yes,,,,,,,,,,,,,,
PROCUREMENT,,G.PROCUREMENT.PROC-POLICY.e2,Part 3: What does the framework say specifically about data?,Sum,G.PROCUREMENT.PROC-POLICY,,,,,,,,,,,1,,,,,,,,,,,,,,,,,,
PROCUREMENT,,G.PROCUREMENT.PROC-POLICY.e2.e2.0,The rules/guidance support publication of open data.,Option,G.PROCUREMENT.PROC-POLICY.e2,,,,,,,,,,,0.5,,No,Partially,Yes,,,,,,,,,,,,,,
PROCUREMENT,,G.PROCUREMENT.PROC-POLICY.e2.e2.1,The rules/guidance supports collection of structured data.,Option,G.PROCUREMENT.PROC-POLICY.e2,,,,,,,,,,,0.5,,No,Partially,Yes,,,,,,,,,,,,,,
PROCUREMENT,,G.PROCUREMENT.PROC-POLICY.e2.e2.2,The rules/guidance requires timely updates to data,Option,G.PROCUREMENT.PROC-POLICY.e2,,,,,,,,,,,0.5,,No,Partially,Yes,,,,,,,,,,,,,,
