Section ID,QuestionNumber,Question ID,Question,Type,Parent ID,SubQuestionsFirst,CSSClass,Guidance10,Guidance5,Guidance0,WantConfidence,WantJustification,JustificationNote,HasPrivateNotes,WantExamples,Multiplier,OptionGuidance,Option0,Option1,Option2,Option3,Option4,Option5,Option6,Option7,Option8,Option9,Supporting0,Supporting1,Supporting2,Supporting3,Supporting4,Supporting5,HelpLink
COMPANY,,G.COMPANY.REG,"To what extent do relevant laws, policies, regulations and guidance provide a basis for collecting and publishing structured data from company registers?",Sum,,Yes,,,,,,Yes,,Yes,Yes,,,,,,,,,,,,,,,,,,,https://handbook.globaldatabarometer.org/indicators/G.COMPANY.REG/
COMPANY,,G.COMPANY.REG.div-Existence,Existence,Note,G.COMPANY.REG,,divider,,,,,,,,,,,,,,,,,,,,,,,,,,,
COMPANY,,G.COMPANY.REG.a0,"Are there any laws, policies or regulations requiring collection or publication of this information in any form?",Radio,G.COMPANY.REG,,radio-list,,,,,,,,,1,,No,"They are in draft, or are not yet implemented",They exist and are operating,,,,,,,,1;Please provide brief details,,,,,,
COMPANY,,G.COMPANY.REG.a1,"Do relevant laws, policies, regulations or guidance discuss collection and publication of structured and open data?",Radio,G.COMPANY.REG,,radio-list,,,,,,,,,1,,"Relevant laws, policies and guidance explicitly create barriers to collecting and publishing structured data","There is no mention of data in the relevant laws, policies or guidance",Requirements to collect data are set out in relevant non-binding policy or guidance,"Requirements to collect data are set out in relevant binding policy, regulations or law",Requirements to publish data are set out in relevant non-binding policy or guidance,Requirements to publish data are set out in relevant binding policy or law,,,,,0;Please briefly detail the barriers created (e.g. requirements for paper-based filing only),,,,,,
COMPANY,,G.COMPANY.REG.div-Elements,Elements,Note,G.COMPANY.REG,,divider,,,,,,,,,,,,,,,,,,,,,,,,,,,
COMPANY,,G.COMPANY.REG.e,Part 1: What do structured data requirements cover?,Sum,G.COMPANY.REG,,,,,,,,,,,1,,,,,,,,,,,,,,,,,,
COMPANY,,G.COMPANY.REG.e.e.0,The framework requires collection of data on directors and shareholders,Option,G.COMPANY.REG.e,,,,,,,,,,,0.5,,No,Partially,Yes,,,,,,,,,,,,,,
COMPANY,,G.COMPANY.REG.e.e.1,"The framework or data covers basic company information as structured data: including company name, legal form and status and registered address",Option,G.COMPANY.REG.e,,,,,,,,,,,0.5,,No,Partially,Yes,,,,,,,,"If one or more of the basic company data features is not covered, please list which (e.g. list of directors)",,,,,,
COMPANY,,G.COMPANY.REG.e.e.2,The framework provides for collection of up to date and structured data on the shareholders of each company,Option,G.COMPANY.REG.e,,,,,,,,,,,0.5,,No,Partially,Yes,,,,,,,,,,,,,,
COMPANY,,G.COMPANY.REG.e.e.3,The framework provides for regular collection of structured financial data from companies,Option,G.COMPANY.REG.e,,,,,,,,,,,0.5,,No,Partially,Yes,,,,,,,,"0;(Optional) Is structured company accounting data collected through any other mechanism or agency (e.g. tax offices, operating separately from the company register)? ",2;(Optional) Please briefly describe any requirements for firms to file structured data accounts or financial returns (e.g. is structured data filing voluntary or mandatory? Do exemptions exist for small firms?),,,,,
COMPANY,,G.COMPANY.REG.e1,Part 2: What other requirements are covered?,Sum,G.COMPANY.REG,,,,,,,,,,,1,,,,,,,,,,,,,,,,,,
COMPANY,,G.COMPANY.REG.e1.e1.0,The framework requires data to be regularly updated.,Option,G.COMPANY.REG.e1,,,,,,,,,,,0.5,,No,Partially,Yes,,,,,,,,,,,,,,
COMPANY,,G.COMPANY.REG.e1.e1.1,The framework supports publication of open data.,Option,G.COMPANY.REG.e1,,,,,,,,,,,0.5,,No,Partially,Yes,,,,,,,,,,,,,,
COMPANY,,G.COMPANY.REG.e1.e1.2,The framework empowers an agency or official to ensure the accurate and timely collection and publication of required data.,Option,G.COMPANY.REG.e1,,,,,,,,,,,0.5,,No,Partially,Yes,,,,,,,,,,,,,,
COMPANY,,G.COMPANY.REG.div-Extent,Extent,Note,G.COMPANY.REG,,divider,,,,,,,,,,,,,,,,,,,,,,,,,,,
COMPANY,,G.COMPANY.REG.c0,"How widely do these laws, regulations, policies or guidance apply?",Radio,G.COMPANY.REG,,radio-list,,,,,,,,,1,,"The laws, policies and guidance assessed cover a limited number of localities or government agencies","The relevant laws, policies and guidance assessed cover, or are representative of those covering, many localities or government agencies","The relevant laws, policies and guidance assessed cover the majority of public procurement",,,,,,,,,,,,,,
COMPANY,,G.COMPANY.BOT,"To what extent do relevant laws, policies, regulations and guidance provide a basis for collecting and publishing structured beneficial ownership data on companies?",Sum,,Yes,,,,,,Yes,,Yes,Yes,,,,,,,,,,,,,,,,,,,https://handbook.globaldatabarometer.org/indicators/G.COMPANY.BOT/
COMPANY,,G.COMPANY.BOT.div-Existence,Existence,Note,G.COMPANY.BOT,,divider,,,,,,,,,,,,,,,,,,,,,,,,,,,
