Section ID,Section,Title,Description
AGRICULTURE,Agriculture,Agriculture,Theme descriptions are not currently populated by survey creation scripts.
CLIMATE,Climate Action,Climate Action,Theme descriptions are not currently populated by survey creation scripts.
COMPANY,Company Informati,Company Informati,Theme descriptions are not currently populated by survey creation scripts.
CRIME,Crime and Justice,Crime and Justice,Theme descriptions are not currently populated by survey creation scripts.
EDUCATION,Education,Education,Theme descriptions are not currently populated by survey creation scripts.
EXTRACTIVES,Extractives,Extractives,Theme descriptions are not currently populated by survey creation scripts.
HEALTH,Health,Health,Theme descriptions are not currently populated by survey creation scripts.
LAND,Land,Land,Theme descriptions are not currently populated by survey creation scripts.
POLITICAL,Political Integrity,Political Integrity,Theme descriptions are not currently populated by survey creation scripts.
PROCUREMENT,Procurement,Procurement,Theme descriptions are not currently populated by survey creation scripts.
TRANSPORTATION,Transportation,Transportation,Theme descriptions are not currently populated by survey creation scripts.
TELECOMMUNICATIONS,Telecommunications,Telecommunications,Theme descriptions are not currently populated by survey creation scripts.
URBAN,Urban Development,Urban Development,Theme descriptions are not currently populated by survey creation scripts.
MIGRATION,Migration,Migration,Theme descriptions are not currently populated by survey creation scripts.
TOURISM,Tourism & Leisure,Tourism & Leisure,Theme descriptions are not currently populated by survey creation scripts.
GEOSPATIAL,Geospatial,Geospatial,Theme descriptions are not currently populated by survey creation scripts.
PUBLIC,Public Finance,Public Finance,Theme descriptions are not currently populated by survey creation scripts.
GOVERNANCE,Governance,Governance,Theme descriptions are not currently populated by survey creation scripts.
CAPABILITIES,Capabilities,Capabilities,Theme descriptions are not currently populated by survey creation scripts.
LOCAL,Local data,Local data,Theme descriptions are not currently populated by survey creation scripts.
COVID-19,COVID-19,COVID-19,Theme descriptions are not currently populated by survey creation scripts.
INFRASTRUCTURE,Infrastructure & Construction,Infrastructure & Construction,Theme descriptions are not currently populated by survey creation scripts.
GENDER,Gender Equity & inclusion,Gender Equity & inclusion,Theme descriptions are not currently populated by survey creation scripts.
ENERGY,Energy,Energy,Theme descriptions are not currently populated by survey creation scripts.
